ID,Raw_Score_First,Theta_First,ss_first,Perf_First,Raw_Score_Last,Theta_Last,ss_last,Perf_Last,Growth,Growth_category
8,5,-7.52013,801,Level 1,6,-7.52013,801,Level 1,Level1|Level1,N
18,4,-7.52013,801,Level 1,7,-7.52013,801,Level 1,Level1|Level1,N
23,2,-7.52013,801,Level 1,25,-7.52013,1261,Level 2,Level1|Level2,Y
83,6,-7.52013,801,Level 1,37,-7.52013,1465,Level 3,Level1|Level3,Y
109,3,-7.52013,801,Level 1,21,-7.52013,1198,Level 2,Level1|Level2,Y
112,6,-7.52013,801,Level 1,5,-7.52013,801,Level 1,Level1|Level1,N
120,4,-7.52013,801,Level 1,6,-7.52013,801,Level 1,Level1|Level1,N
131,2,-7.52013,801,Level 1,9,-7.52013,972,Level 1,Level1|Level1,N
166,4,-7.52013,801,Level 1,20,-7.52013,1182,Level 2,Level1|Level2,Y
223,6,-7.52013,801,Level 1,8,-7.52013,908,Level 1,Level1|Level1,N
239,5,-7.52013,801,Level 1,20,-7.52013,1182,Level 2,Level1|Level2,Y
252,2,-7.52013,801,Level 1,25,-7.52013,1261,Level 2,Level1|Level2,Y
262,6,-7.52013,801,Level 1,26,-7.52013,1278,Level 2,Level1|Level2,Y
288,0,-7.52013,801,Level 1,23,-7.52013,1229,Level 2,Level1|Level2,Y
317,5,-7.52013,801,Level 1,16,-7.52013,1124,Level 2,Level1|Level2,Y
320,3,-7.52013,801,Level 1,27,-7.52013,1295,Level 2,Level1|Level2,Y
343,5,-7.52013,801,Level 1,19,-7.52013,1168,Level 2,Level1|Level2,Y
354,7,-7.52013,801,Level 1,36,-7.52013,1448,Level 3,Level1|Level3,Y
365,6,-7.52013,801,Level 1,39,-7.52013,1499,Level 3,Level1|Level3,Y
380,6,-7.52013,801,Level 1,23,-7.52013,1229,Level 2,Level1|Level2,Y
389,5,-7.52013,801,Level 1,18,-7.52013,1153,Level 2,Level1|Level2,Y
390,7,-7.52013,801,Level 1,38,-7.52013,1482,Level 3,Level1|Level3,Y
445,4,-7.52013,801,Level 1,16,-7.52013,1124,Level 2,Level1|Level2,Y
446,2,-7.52013,801,Level 1,41,-7.52013,1534,Level 3,Level1|Level3,Y
456,6,-7.52013,801,Level 1,40,-7.52013,1516,Level 3,Level1|Level3,Y
494,4,-7.52013,801,Level 1,41,-7.52013,1534,Level 3,Level1|Level3,Y
505,5,-7.52013,801,Level 1,13,-7.52013,1078,Level 1,Level1|Level1,N
515,7,-7.52013,801,Level 1,33,-7.52013,1398,Level 3,Level1|Level3,Y
528,1,-7.52013,801,Level 1,7,-7.52013,801,Level 1,Level1|Level1,N
539,0,-7.52013,801,Level 1,19,-7.52013,1168,Level 2,Level1|Level2,Y
581,1,-7.52013,801,Level 1,9,-7.52013,972,Level 1,Level1|Level1,N
591,1,-7.52013,801,Level 1,31,-7.52013,1364,Level 3,Level1|Level3,Y
625,5,-7.52013,801,Level 1,26,-7.52013,1278,Level 2,Level1|Level2,Y
654,5,-7.52013,801,Level 1,30,-7.52013,1346,Level 2,Level1|Level2,Y
655,5,-7.52013,801,Level 1,23,-7.52013,1229,Level 2,Level1|Level2,Y
661,0,-7.52013,801,Level 1,15,-7.52013,1110,Level 1,Level1|Level1,N
663,4,-7.52013,801,Level 1,2,-7.52013,801,Level 1,Level1|Level1,N
688,6,-7.52013,801,Level 1,29,-7.52013,1329,Level 2,Level1|Level2,Y
706,4,-7.52013,801,Level 1,20,-7.52013,1182,Level 2,Level1|Level2,Y
707,1,-7.52013,801,Level 1,17,-7.52013,1139,Level 2,Level1|Level2,Y
731,4,-7.52013,801,Level 1,30,-7.52013,1346,Level 2,Level1|Level2,Y
